tsId;databaseName;timeseriesUnit;raster
dwd_pollenflug_#Ambrosia#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Ambrosia#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Esche#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Esche#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Birke#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Rhein.-Westfäl._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Tiefland_Thüringen#;AllergieDaten;STATUS;PT1D
